Site,Trial,Replicate,Crab_Treatment_Num,Crab_Number,Crab_Mass,Sex,Soil_Strength_Before,Soil_Strength_After,Burrow_Volume,Dig,Escape,Shared
NAN,1,1,1,1,4.6,m,23,23,0,0,0,0
NAN,1,2,1,1,4.8,m,18,18,0,0,0,0
NAN,1,3,1,1,4.2,m,10,10,0,0,0,0
NAN,1,4,1,1,7.5,m,0,0,11,1,0,0
NAN,2,1,1,1,5.7,m,23.3,23,0,0,0,0
NAN,2,2,1,1,3.9,m,18.3,19,0,0,0,0
NAN,2,3,1,1,5.5,m,9,9,0,0,0,0
NAN,2,4,1,1,2,m,0,0,27,1,0,0
NAN,3,1,1,1,5.5,m,21,20.3,0,0,0,0
NAN,3,2,1,1,4.2,m,18.33,18,0,0,0,0
NAN,3,3,1,1,3.5,m,10,7.6,0,0,0,0
NAN,3,4,1,1,2.1,m,0,0,15,1,0,0
NAN,4,1,1,1,3.1,m,20.33,20,0,0,0,0
NAN,4,2,1,1,2.7,m,17.3,16.3,0,0,0,0
NAN,4,3,1,1,3.8,m,9,9,20,1,0,0
NAN,4,4,1,1,4.4,m,0,0,0,0,1,0
NAN,1,1,3,1,5,m,24,20.5,0,0,0,0
NAN,1,1,3,2,3.9,m,24,20.5,0,0,0,0
NAN,1,1,3,3,1.7,f,24,20.5,0,0,0,0
NAN,1,2,3,1,4.1,m,18,17.3,0,0,0,0
NAN,1,2,3,2,3.9,m,18,17.3,0,0,0,0
NAN,1,2,3,3,4.1,m,18,17.3,0,0,0,0
NAN,1,3,3,1,2.9,m,7.3,8.6,0,0,0,0
NAN,1,3,3,2,3.7,m,7.3,8.6,0,0,0,0
NAN,1,3,3,3,3.5,m,7.3,8.6,0,0,0,0
NAN,1,4,3,1,4.2,m,0,0,0,0,0,0
NAN,1,4,3,2,6.5,m,0,0,0,0,0,0
NAN,1,4,3,3,3.2,m,0,0,0,0,0,0
NAN,2,1,3,1,4.1,m,21.6,18,0,0,0,0
NAN,2,1,3,2,3.3,m,21.6,18,0,0,0,0
